iter	Logloss
177	0.2039690346
178	0.2038457602
179	0.2037245399
180	0.2035495497
181	0.2034342395
182	0.2029780988
183	0.2028314646
184	0.2025161833
185	0.2021497996
186	0.2020570054
187	0.2019996944
188	0.2014974494
189	0.2013484997
190	0.2007116591
191	0.2003839654
192	0.2002904303
193	0.2001504388
194	0.1998404516
195	0.1997027341
196	0.1995643165
197	0.1994784746
198	0.1993741093
199	0.1992749692
200	0.1991643976
201	0.1990149313
202	0.1985975323
203	0.198459382
204	0.1982001871
205	0.198014196
206	0.1979572688
207	0.1978941216
208	0.1977837331
209	0.1977216515
210	0.1973527674
211	0.1972461239
212	0.197044181
213	0.1969731489
214	0.1968865035
215	0.1967004966
216	0.1966131902
217	0.1964964906
218	0.1963764512
219	0.1962809303
220	0.1961832113
221	0.1960469917
222	0.1959018974
223	0.1957856806
224	0.1957265177
225	0.1956532621
226	0.1955889893
227	0.1954129011
228	0.1953602321
229	0.1952427228
230	0.1951955913
231	0.1950656097
232	0.194981135
233	0.1949209267
234	0.1947846866
235	0.1944936313
236	0.1943049891
237	0.1941448411
238	0.194062155
239	0.193969063
240	0.1939109242
241	0.1938299569
242	0.1937399232
243	0.1936744307
244	0.193589125
245	0.1935208575
246	0.1934198096
247	0.193302847
248	0.1931307
249	0.1930288527
250	0.1929435952
251	0.1928693455
252	0.1928160567
253	0.1923138816
254	0.1920832054
255	0.1920207117
256	0.1919588168
257	0.1917013567
258	0.1912363886
259	0.1911637287
260	0.1909447537
261	0.1908416513
262	0.1907304756
263	0.1906753693
264	0.1904335165
265	0.1902792847
266	0.1901817587
267	0.189915107
268	0.1897324546
269	0.1896248321
270	0.1895525592
271	0.1894941759
272	0.1893873059
273	0.1891681672
274	0.1891047648
275	0.1889387426
276	0.1888349289
277	0.1887315895
278	0.1885921578
279	0.1885219155
280	0.1881776675
281	0.1878772001
282	0.1877478679
283	0.1876410308
284	0.1875447686
285	0.1873906624
286	0.1873111246
287	0.1871825238
288	0.1869101843
289	0.186653262
290	0.1865724623
291	0.1864975026
292	0.1864065002
293	0.1862975797
294	0.1861479221
295	0.1858111391
296	0.1857404573
297	0.1856024039
298	0.1853429258
299	0.1851791238
300	0.1849986758
301	0.1849054892
302	0.1848052775
303	0.1846092465
304	0.1845265359
305	0.1842890346
306	0.184160431
307	0.1839965424
308	0.1839099704
309	0.183848811
310	0.1837857156
311	0.1836919342
312	0.1835688104
313	0.1834718651
314	0.1833900587
315	0.1833257489
316	0.1832232747
317	0.183074341
318	0.1829746375
319	0.1828545055
320	0.1827540411
321	0.1825629135
322	0.1825219864
323	0.1823694627
324	0.1823026013
325	0.1820608694
326	0.1819738222
327	0.1818803247
328	0.1818018386
329	0.1817172579
330	0.181551607
331	0.1814241972
332	0.1813280143
333	0.1811123984
334	0.1810161781
335	0.1809436172
336	0.1807375492
337	0.1806425372
338	0.1805941096
339	0.1805182663
340	0.1802096157
341	0.1801513359
342	0.1798037811
343	0.1793949424
344	0.1793157392
345	0.1791540893
346	0.1789916985
347	0.1787854093
348	0.1784545638
349	0.1783835076
350	0.178326361
351	0.1782883191
352	0.178219534
353	0.1778536828
354	0.1777447175
355	0.1775985283
356	0.1774417975
357	0.1772714988
358	0.1771664816
359	0.1771049688
360	0.1769681365
361	0.1768422971
362	0.1767418115
363	0.176472095
364	0.176101506
365	0.175993475
366	0.1757426615
367	0.1756711936
368	0.1756040654
369	0.1755186324
370	0.1754836481
371	0.1753717208
372	0.1752957654
373	0.1752483258
374	0.1751861889
375	0.1751289253
376	0.1750546908
377	0.1747060493
378	0.1745498936
379	0.1744788049
380	0.1744231705
381	0.1741149788
382	0.1740505417
383	0.174001833
384	0.1739458075
385	0.1738759068
386	0.1737749924
387	0.17374217
388	0.1736761243
389	0.1735441981
390	0.173485841
391	0.1734052014
392	0.1733581265
393	0.1733149188
394	0.1731940467
395	0.1731086582
396	0.1729877225
397	0.1729389047
398	0.172795158
399	0.172674553
400	0.1726364597
401	0.1725392913
402	0.1724845535
403	0.1722741733
404	0.1721925551
405	0.1721264567
406	0.1720294517
407	0.1719716966
408	0.1718931572
409	0.1718272749
410	0.1717571908
411	0.1716554423
412	0.1716077634
413	0.1715421423
414	0.1714864177
415	0.1713366977
416	0.1712919868
417	0.1712199997
418	0.1711937032
419	0.1711006733
420	0.1709939948
421	0.1709130084
422	0.1708699926
423	0.1707978241
424	0.1706122005
425	0.170529892
426	0.1704877232
427	0.170399079
428	0.1703296838
429	0.1702419705
430	0.1701168331
431	0.1699543766
432	0.1698809194
433	0.1698183992
434	0.1697051092
435	0.1696348157
436	0.1695467327
437	0.1694826678
438	0.1692551721
439	0.169197675
440	0.1691380081
441	0.1690429581
442	0.1688065114
443	0.1686880999
444	0.1685974681
445	0.1685715296
446	0.1685146634
447	0.1684528495
448	0.1683901883
449	0.1682521121
450	0.1680151902
451	0.1679317695
452	0.1678067918
453	0.1677906419
454	0.1677400145
455	0.1676914454
456	0.167491712
457	0.1673742003
458	0.1672463879
459	0.1672162434
460	0.1671185964
461	0.167056585
462	0.1669958267
463	0.1668606583
464	0.166821285
465	0.1667826385
466	0.1667525901
467	0.1666835967
468	0.1666002964
469	0.1665245286
470	0.1664210052
471	0.1663601685
472	0.1663232186
473	0.1661924975
474	0.1661417799
475	0.165900989
476	0.1658827351
477	0.1657958823
478	0.1657705353
479	0.165674914
480	0.1654863552
481	0.1654232707
482	0.1651800246
483	0.1650840003
484	0.1649971828
485	0.1648502511
486	0.1642391141
487	0.1641373118
488	0.1640715627
489	0.1637725111
490	0.1636314218
491	0.1635332787
492	0.1634281911
493	0.1633217067
494	0.163228746
495	0.1630157161
496	0.1629694786
497	0.1629000583
498	0.1628640593
499	0.162465375
500	0.1623559843
501	0.1622666042
502	0.1622361082
503	0.1621660951
504	0.1618727835
505	0.161811785
506	0.1617545143
507	0.1616769247
508	0.1616118805
509	0.1614899812
510	0.1614520182
511	0.1613469043
512	0.1612905372
513	0.1611058476
514	0.1610774323
515	0.1610335425
516	0.1609729515
517	0.1608873928
518	0.1608495357
519	0.1608436972
520	0.1607623685
521	0.1607244751
522	0.1607012268
523	0.1606667077
524	0.1606462091
525	0.1605951539
526	0.160490057
527	0.1604058911
528	0.160340407
529	0.1602536278
530	0.1600969282
531	0.1600731256
532	0.1598791399
533	0.1597275656
534	0.1596615303
535	0.1595947198
536	0.1595194482
537	0.1591703635
538	0.1591166832
539	0.1590675222
540	0.1589993284
541	0.1589699471
542	0.1589190191
543	0.1588405356
544	0.1587742201
545	0.1587059181
546	0.1586349906
547	0.1586162694
548	0.1585930365
549	0.1585505026
550	0.1585024665
551	0.1582644975
552	0.158209487
553	0.1580613315
554	0.1578619623
555	0.1578172258
556	0.1577867383
557	0.1577244082
558	0.1576780867
559	0.1576504114
560	0.1575940754
561	0.1574059977
562	0.1572789106
563	0.157238538
564	0.1568546119
565	0.1567428713
566	0.1567223608
567	0.1566808455
568	0.1566071228
569	0.1563636237
570	0.156245839
571	0.1559371913
572	0.1558785058
573	0.1556997172
574	0.1555711338
575	0.1555022994
576	0.1554433015
577	0.1553701267
578	0.1552981381
579	0.1552185105
580	0.1551598462
581	0.1550962014
582	0.1550524825
583	0.1550011522
584	0.1548196057
585	0.1547289973
586	0.154661873
587	0.1545850068
588	0.154502098
589	0.1544359067
590	0.1543648515
591	0.154256089
592	0.1540812357
593	0.1540080648
594	0.1539182601
595	0.1538581823
596	0.1538168654
597	0.1537316146
598	0.1536839535
599	0.1536403692
600	0.1535728367
601	0.153398145
602	0.1533755789
603	0.1531043425
604	0.1530626705
605	0.1529428912
606	0.1528560285
607	0.1528025928
608	0.1525960189
609	0.1524804081
610	0.1524315441
611	0.1523506861
612	0.1522900976
613	0.1522501292
614	0.1522113082
615	0.1519593182
616	0.1518736599
617	0.1518146206
618	0.1517097347
619	0.1515688091
620	0.1515186852
621	0.1514293672
622	0.1513378655
623	0.1512730717
624	0.1512099722
625	0.1511826617
626	0.1511353703
627	0.1510527733
628	0.1509969848
629	0.1509528397
630	0.1508520161
631	0.1508224972
632	0.1507732345
633	0.1506787444
634	0.1506223998
635	0.1505622366
636	0.1505070407
637	0.1504196183
638	0.1502651874
639	0.1501944714
640	0.1501292568
641	0.1500677708
642	0.1500365677
643	0.1499863854
644	0.1498850583
645	0.1498102677
646	0.1497032245
647	0.1495942071
648	0.149512942
649	0.1494608564
650	0.1494028852
651	0.1493371132
652	0.1491647594
653	0.1491132549
654	0.1490615399
655	0.1490066389
656	0.1489883551
657	0.148927675
658	0.1488712783
659	0.1488164694
660	0.148747219
661	0.1486878856
662	0.1486085931
663	0.1485325643
664	0.1484381434
665	0.148385186
666	0.1483571446
667	0.1482776881
668	0.1482421531
669	0.1482001262
670	0.1481427971
671	0.1480524819
672	0.1480196906
673	0.1479688012
674	0.1478933532
675	0.1476415437
676	0.1475864577
677	0.1475278587
678	0.1474666562
679	0.1474509518
680	0.1471858989
681	0.14710442
682	0.1470421338
683	0.1468643847
684	0.1467987811
685	0.1467785641
686	0.1467218353
687	0.1465989039
688	0.1465378293
689	0.1465001988
690	0.1464615728
691	0.1464127072
692	0.1463815103
693	0.146309574
694	0.1462606465
695	0.146200237
696	0.146163381
697	0.146109774
698	0.1460164201
699	0.145848525
700	0.1457827503
701	0.1457596434
702	0.1457258809
703	0.1456689478
704	0.1456173969
705	0.1455512482
706	0.1454407217
707	0.1452318103
708	0.1450034046
709	0.1449376633
710	0.1447414933
711	0.1446397063
712	0.1445698549
713	0.1445260086
714	0.1444917338
715	0.1444312433
716	0.144335407
717	0.1442870788
718	0.1442282129
719	0.1441896966
720	0.1441730256
721	0.1441225747
722	0.1440992696
723	0.1439613142
724	0.1438715248
725	0.1437924527
726	0.1436826632
727	0.1436263853
728	0.1435219968
729	0.1434497425
730	0.1433893795
731	0.1433369073
732	0.1432978057
733	0.1429252812
734	0.142861439
735	0.1427773211
736	0.1427153202
737	0.1425115072
738	0.1424765244
739	0.1422687147
740	0.1422290308
741	0.1421657568
742	0.1420039144
743	0.1419765233
744	0.1419323044
745	0.1418821376
746	0.1417243678
747	0.1414778868
748	0.1414070354
749	0.1413370893
750	0.1412659427
751	0.1411829312
752	0.141139145
753	0.1410900113
754	0.1410738632
755	0.1410084178
756	0.1409126969
757	0.1408868698
758	0.1408778463
759	0.1404866026
760	0.1404573564
761	0.1404029706
762	0.1403690926
763	0.1403153351
764	0.1402133916
765	0.1401205027
766	0.1397853289
767	0.1397613851
768	0.139680628
769	0.1396120648
770	0.1395346128
771	0.1395090281
772	0.1392030915
773	0.1389634026
774	0.1389128465
775	0.1386540449
776	0.1385900546
777	0.1383545554
778	0.1381989152
779	0.1381424257
780	0.1380530555
781	0.1378392155
782	0.1375681269
783	0.1375130687
784	0.1374357769
785	0.1373752356
786	0.1372588122
787	0.1372168423
788	0.1370890617
789	0.1370384629
790	0.1369826915
791	0.1368977058
792	0.1368263098
793	0.1367096319
794	0.1366882274
795	0.1365128644
796	0.136405422
797	0.1363455701
798	0.1362690747
799	0.1361714136
800	0.1361100109
801	0.1360511263
802	0.135998205
803	0.1357510614
804	0.1357242997
805	0.135680553
806	0.1356633876
807	0.135482619
808	0.1354235967
809	0.1353812613
810	0.1351964173
811	0.1351210067
812	0.1350932537
813	0.1350383104
814	0.1349731203
815	0.1348294607
816	0.1346861729
817	0.1345935736
818	0.1345132269
819	0.1344287135
820	0.1343614132
821	0.1343209818
822	0.1342816989
823	0.1342127096
824	0.1341507971
825	0.134073485
826	0.1340367339
827	0.1339937892
828	0.1338354369
829	0.1334890596
830	0.1333125105
831	0.1331583987
832	0.1330807709
833	0.1330150511
834	0.1327900509
835	0.1327145685
836	0.1325372902
837	0.1324876428
838	0.1324425739
839	0.1324183108
840	0.1323582117
841	0.1323215735
842	0.1323058441
843	0.1322598657
844	0.1321937086
845	0.132147561
846	0.1320494896
847	0.1319300009
848	0.1318770459
849	0.1318403327
850	0.1317620053
851	0.1317367864
852	0.1316939898
853	0.1316863369
854	0.1316384894
855	0.1316309556
856	0.1315828709
857	0.1315803202
858	0.1313947242
859	0.1313061364
860	0.1312786213
861	0.1312269192
862	0.1311698333
863	0.1311591422
864	0.1311475597
865	0.1310804698
866	0.1310117734
867	0.1309786572
868	0.1309188543
869	0.1308862217
870	0.1308379678
871	0.130812889
872	0.1307548713
873	0.1306893727
874	0.1306409109
875	0.1306049339
876	0.1305257157
877	0.1304874466
878	0.1303930609
879	0.1303499904
880	0.1303018611
881	0.130269983
882	0.1302610069
883	0.1302230116
884	0.1301807865
885	0.1301399653
886	0.1300609912
887	0.1300281819
888	0.1299850169
889	0.1299357806
890	0.1298859596
891	0.1298190783
892	0.1297565342
893	0.1297078445
894	0.1296378125
895	0.1296010686
896	0.1295749463
897	0.1295472985
898	0.1295230564
899	0.1294705003
900	0.1292983703
901	0.1291722779
902	0.1291519299
903	0.1288656435
904	0.1288192229
905	0.128668085
906	0.1285909081
907	0.1285273145
908	0.1284905236
909	0.1284485354
910	0.1284189892
911	0.128382651
912	0.1281446677
913	0.1281259867
914	0.1280976772
915	0.1280023557
916	0.1279181639
917	0.1277567421
918	0.1276640278
919	0.1276236573
920	0.1275898243
921	0.1275496433
922	0.1273858726
923	0.1273066347
924	0.1272449611
925	0.12720678
926	0.1269922328
927	0.1267241675
928	0.1266844132
929	0.1265406694
930	0.1265062433
931	0.1264351808
932	0.1262861077
933	0.1262288847
934	0.1261410523
935	0.125993748
936	0.1259480495
937	0.1258951464
938	0.1258449509
939	0.1258082234
940	0.1257560606
941	0.1257009895
942	0.1256527026
943	0.1256205014
944	0.1255610778
945	0.1254858612
946	0.1254259074
947	0.1253861751
948	0.1253324578
949	0.1252784959
950	0.1252351282
951	0.1252088635
952	0.1251696962
953	0.1251244452
954	0.1249323289
955	0.1248718164
956	0.1248070244
957	0.124746876
958	0.1247118516
959	0.1246736345
960	0.1245740808
961	0.1245446024
962	0.1243337613
963	0.1242288007
964	0.124176404
965	0.1239443846
966	0.1238674672
967	0.123818216
968	0.123753839
969	0.1235913036
970	0.1235414691
971	0.1235073389
972	0.1234730355
973	0.1234418209
974	0.1233726969
975	0.123325634
976	0.1232619995
977	0.1232285753
978	0.1231907162
979	0.1231370902
980	0.1231221671
981	0.1230913415
982	0.1230775486
983	0.1230532184
984	0.1230237294
985	0.1229918675
986	0.122927956
987	0.1228831349
988	0.1228511791
989	0.122785748
990	0.1227434042
991	0.1226993619
992	0.122610121
993	0.1225349292
994	0.1224811454
995	0.1224415442
996	0.1223733685
997	0.1223453429
998	0.1222599435
999	0.1222372991
